name,description,gst_price
WSQ - Quantum Computing for Beginners,"Embark on an exciting journey into the revolutionary field of quantum computing. Our WSQ Quantum Computing for Beginners course equips you with the foundational knowledge you'll need to understand this complex yet fascinating domain. From quantum bits (qubits) and quantum algorithms to quantum mechanics, you'll gain the skills to comprehend the fundamental theories that are reshaping the world of computing.
Whether ....",$872.00
WSQ - Microsoft Azure Data Fundamentals Exam Prep (DP-900),"Embark on a journey into the world of cloud data management with our Microsoft Azure Data Fundamentals course. This course is designed to equip you with the knowledge and skills required to manage data effectively on the Microsoft Azure platform. You'll explore the core concepts of Azure data services, diving deep into Azure databases, big data, and analytics solutions
In our course, you'll get hands-on experience u....",$872.00
WSQ – Develop Chatbot Content Strategy with Microsoft Power Virtual Agents,"In this course, participants will learn how to contextualize ideas for chatbots and map out chatbot storyboards tailored to customer preferences. They will gain insights into determining the frequency and types of chatbot content to be delivered, ensuring that customers receive the right information at the right time.
Furthermore, learners will explore the various modes of distributing chatbots and evaluate the effe....",$817.50
WSQ - Linux Configuration and Shell Scripting,"Ready to level up your Linux skills? Dive into our comprehensive course on Linux Configuration and Shell Scripting. Whether you're an aspiring system admin or a developer looking to automate tasks, this course will arm you with the skills you need. Learn essential Linux commands, system configuration, and how to write effective shell scripts. With a blend of theory and hands-on exercises, you'll gain the expertise ne....",$872.00
WSQ - Data Analytics with Excel,"Unleash the power of Excel in data analytics with our comprehensive, WSQ-endorsed course. From basic data manipulation and formulas to advanced techniques like pivot tables and data visualization, this course offers a full spectrum of skills. Practical exercises and real-world case studies ensure that your learning is rooted in applicability, equipping you with the tools to analyze large datasets and generate actiona....",$749.92
WSQ - Design an Automated Speech Recognition (ASR) System,"Embark on an exciting journey into the world of voice technology with our Automated Speech Recognition (ASR) System Design course. This program is designed for tech enthusiasts and professionals looking to gain a strong foundation in ASR systems, a pivotal technology in today's AI-driven landscape.
The course covers everything from the basics of speech recognition to the design and implementation of advanced ASR sys....","$1,471.50"
WSQ - Python Fundamental Course for Beginners,"Launch your programming journey with our WSQ-endorsed Python Fundamental Course for Beginners. This course is tailored to provide you with a solid foundation in Python, one of the most versatile and widely-used programming languages today. Covering topics such as Python syntax, data types, and basic algorithms, our course offers hands-on exercises to ensure you acquire practical programming skills that are applicable....",$749.92
WSQ - Python Programming Intermediate Level Course,"Deepen your understanding of Python programming with our WSQ-endorsed Intermediate Level Course. Designed for those who have mastered the basics, this course will take you through more advanced topics such as complex data structures, algorithms, and utilizing Python libraries. You'll engage in hands-on exercises and work on real-world projects that enable you to apply your newfound skills in various industry contexts....",$749.92
WSQ - Basic Machine Learning with Scikit-Learn Course,"Step into the transformative world of machine learning with our WSQ-endorsed Basic Machine Learning with Scikit-Learn Course. Designed to provide you with a solid foundation, this course focuses on key ML algorithms and data processing techniques using the Scikit-Learn library. Through hands-on projects and practical exercises, you'll learn how to train models, make predictions, and validate results, gaining the skil....",$749.92
WSQ – Basic Deep Learning with Tensorflow Keras,"Embark on your journey into the realm of artificial intelligence with our WSQ-endorsed Basic Deep Learning with Tensorflow Keras course. This course provides an in-depth understanding of fundamental deep learning concepts, focusing on neural network architectures and how to implement them using Tensorflow Keras. With hands-on exercises and real-world examples, you'll learn the basics of designing, training, and tunin....",$749.92
WSQ – Data Visualisation with Tableau,"Unlock the capabilities of Tableau for visual storytelling in our comprehensive WSQ-endorsed course. We cover everything from the basics of data import and cleaning to crafting advanced interactive dashboards. You'll learn how to use Tableau's extensive set of tools through hands-on exercises and real-world examples, ensuring you acquire practical skills to transform raw data into insightful visual narratives.
By th....",$749.92
